SMILES,MW,TPSA,logP,QED
CC[NH2+]CCCN1CC[NH+](C)CC1c1ccc(C(=O)[O-])cc1,306.43000000000006,64.42,-2.105099999999994,0.5671372009071365
C[NH+]1CCN(CCC[NH2+]CC=C(F)C(=O)[O-])C(c2ccccc2)C1,336.43100000000004,64.42,-1.8851999999999933,0.4312257202482961
CC[NH2+]CCCN1CC[NH+](C)CC1c1ccc(C(=O)[O-])cc1,306.43000000000006,64.42,-2.105099999999994,0.5671372009071365
Cn1ccnc1C[NH+]1CCN(CCC[NH2+]CCc2nn(C)c(=O)n(C)c2=O)C(c2ccccc2)C1,482.63300000000015,99.0,-2.1494999999999935,0.3212897741643959
C[NH+]1CC(C(N)=O)N(CCC[NH2+]CCn2cc[nH+]c2)C(c2ccccc2)C1,373.5250000000001,86.45,-2.3187999999999924,0.43124588943992126
CC[NH2+]CCCN1CC[NH+](C)CC1c1ccc(C(=O)NN)cc1,321.46900000000005,79.41,-1.865099999999995,0.2057150458652971
C[NH+]1CCN(CC[NH2+]CCCN2CC[NH+](Cc3cnccn3)CC2c2ccccc2)CC1,440.66000000000014,57.75,-2.2977999999999916,0.3640449970071775
Cn1ccc(C[NH+]2CCN(CCC[NH2+]CCN3CC[NH+](C)CC3)C(c3ccccc3)C2)c1,441.68800000000016,36.9,-1.7492999999999925,0.3827856240271284
CC[NH+](CCCN1CC[NH+](C)CC1c1ccccc1)C(C)C(=O)[O-],334.4840000000001,52.25,-2.008699999999992,0.5777746447816346
C[NH+]1CCN(CCC[NH2+]CC[NH+]2CCCC2)C(c2ccccc2)C1,333.544,28.73,-1.8097999999999934,0.4811273458347354
COc1ccc(C(=O)N2CCCC(C)(C(O)C(O)C(=O)[O-])C2)cc1C(=O)[O-],379.3650000000002,150.26,-2.227299999999997,0.5637698042510679
CC[N+]1(C)CCN(CC2(N3CC[NH+](C(C)(C)C(=O)[O-])CC3)CC(CO)CN(C(=O)c3ccc(OC)cc3)C2)CC1,560.7600000000002,100.82000000000001,-1.6004999999999896,0.3511446343670626
COc1ccc(C(=O)N2CC(C)C(C3NCCC4=c5ccccc5=[NH+]C43)C(C(=O)[O-])C2)cc1,447.53500000000014,95.67,-1.9353999999999936,0.5690905245325941
COc1ccc(C(=O)N2CCC([NH+]3CCNC(=O)C3CCO)C(C)C2[NH+]2CCCC2)cc1,446.59200000000027,87.75,-1.6836999999999944,0.42038566972527325
COc1ccc(C(=O)N2CCC([NH+]3CCC(C(=O)[O-])=C3[O-])C(C)C2[NH+]2CCCC2C)cc1,443.5440000000002,101.61,-2.4504999999999937,0.5262427100860555
COc1ccc(C(=O)N2CC(CC3C=c4cccc(C)c4=[NH+]C3=O)CC(C(=O)NN)C2)cc1,449.53100000000023,115.7,-1.2007799999999964,0.30134196986510453
COc1ccc(C(=O)N2CCC(N3CC[NH+](CC4C=c5cccc(CCO)c5=[NH+]4)CC3C)C(C)C2)cc1OC,536.7170000000002,80.65,-1.7586999999999908,0.37280765420069867
COc1ccc(C(=O)N2CC(C)CC(N3CC[NH+](CC4OC(CC(C)[NH3+])C(O)C4O)CC3)C2)cc1,492.6610000000003,114.55000000000001,-1.7439999999999924,0.35928245371229073
COc1ccc(C(=O)N2CCC([NH+]3CC(Cc4nnn[n-]4)C(C4C5[NH+]=c6ccccc6=C5CC[NH+]4Cc4ccccc4)C3)C(C)C2)cc1,646.8400000000001,105.16,-2.147699999999996,0.20195222735928864
COc1ccc(C(=O)N2CCC([NH+]3CCCC3)C(CC3[NH2+]CC(O)C3c3ccc4c(c3)=C(C)C(C)[NH+]=4)C2)cc1,533.7370000000003,84.78999999999999,-2.04209999999999,0.3453810687456729
CCC(C)NC(=O)CCCNC(=O)NC(N)=[NH2+],244.319,121.84,-1.9456999999999969,0.21201175723751414
CCC(C)NC(=O)CCCNC(=O)C1C=CC([NH3+])C1C(=O)NN,326.42100000000005,140.96,-1.7998999999999956,0.11792083454185302
CCC(C)NC(=O)CCCNC(=O)N1CC(C(N)=O)COCC1C(=O)[O-],371.41400000000016,153.89000000000001,-2.0568999999999944,0.4170515239638741
CCC(C)NC(=O)CC(CNC(=O)C1CCC[NH+](C)C1)=C1C(=O)N(C)C(=O)N=C1[O-],421.4980000000002,135.44,-2.020499999999993,0.4079243839688665
CC(CCn1cc[nH+]c1)NC(=O)CCCNC(=O)NC1=c2cc(F)ccc2=[NH+]C1,402.47400000000005,103.27000000000001,-2.062299999999995,0.3624981394488997
CC(CC[NH+]1CCCCCC1)NC(=O)CC(CNC(=O)C1CC1[N+](=O)[O-])[NH+](C)C,413.56300000000016,110.22,-1.975299999999993,0.2325252021765821
CCC(C)NC(=O)CCCNC(=O)N1CCC([NH+]2CCC(CC3=c4ccccc4=[NH+]C3)C2)C(CCO)C1,513.7270000000004,100.08000000000001,-1.6765999999999914,0.22877609716777553
CCC(Cc1c[nH+]c[nH]1)NC(=O)CCC(NC(=O)c1ccc([O-])nn1)C1OCC(O)C1O,448.48000000000013,186.65999999999997,-2.1708999999999956,0.2714636597393522
CCC(C)(NC(=O)CCCNC(=O)N1CC=C(C2=c3ccccc3=[NH+]C2)CC1)c1nnn[n-]1,450.5470000000002,128.18,-1.7431999999999952,0.4097007673526103
CCC(C)NC(=O)CCC(NC(=O)N1CCNC(=O)C1)C1CC(O)C[NH2+]1,370.47400000000016,127.38,-2.1120999999999945,0.35130516497724806
CCc1ccc(C(=O)[O-])c(C)c1NC(=O)C[NH2+]CC[NH+](C)C,308.402,90.27999999999999,-2.432679999999996,0.46644618601309623
CCc1cccc(C)c1N(CC(N)=O)C(=O)C[NH+](CC[NH+]1CCCC1)C(C)(C)C(=O)[O-],433.5730000000003,112.41,-2.5321799999999923,0.3571843482102671
